xid        iau_name           ra       dec    poserr  s0520         s_err0520    cts_0520 cts_err_0520  L_0520  bkg_cts_0520  exptime_0520  s210          s_err210      cts_210  cts_err_210  L_210   bkg_cts_210  exptime_210  s510          s_err510      cts_510  cts_err_510 L_510   bkg_cts_510  exptime_510 
    115  XMMU_J100210.7+023026 150.544653  2.507253     1.05           2.36           0.07     1275             39  2136.49           1.33          51.76           3.37           0.31       360            24   277.90          1.82         51.99           1.68           0.29        88           15    22.85          1.46         43.72
    116  XMMU_J100049.4+021708 150.206042  2.285777     1.20           0.69           0.03      528             26   535.04           1.80          73.88           0.97           0.16       146            18    56.42          2.42         73.20           0.76           0.18        57           13    14.68          1.95         62.72
    117  XMMU_J100013.4+021400 150.055885  2.233378     1.44           0.30           0.03      147             14   118.79           0.88          47.03           0.76           0.18        76            12    38.26          1.11         48.30          -0.68           0.00         0            0    -1.00         -1.00          0.00
    118  XMMU_J095934.9+021422 149.895468  2.239466     1.37           0.43           0.03      249             18   239.49           1.18          55.48           0.60           0.15        69            13    16.59          1.65         56.26          -0.40           0.00         0            0    -1.00         -1.00          0.00
    119  XMMU_J100122.1+021333 150.342273  2.226039     1.05           1.79           0.06     1009             33  1652.85           1.27          53.97           3.42           0.28       394            24   356.08          1.68         56.00           1.69           0.23       103           14    51.69          1.23         50.48
    120  XMMU_J095847.0+021552 149.695867  2.264520     1.16           1.01           0.06      439             25   428.34           1.68          41.78           4.70           0.41       410            26   299.41          2.54         42.40           1.60           0.35        66           14    11.96          1.89         34.48
    121  XMMU_J100041.1+023349 150.171314  2.563868     1.25           0.55           0.03      350             21   330.34           1.47          61.30           1.16           0.19       145            17    58.37          2.09         61.02          -1.46           0.00         0            0    -1.00         -1.00          0.00
    122  XMMU_J095945.3+021029 149.939107  2.174816     1.43           0.19           0.02      106             13    49.13           1.27          55.04           2.04           0.23       234            19   153.71          1.70         55.68           1.32           0.24        76           14    20.72          1.40         47.89
    123  XMMU_J100131.8+023335 150.382750  2.559731     1.39           0.36           0.02      215             14   188.97           1.30          57.40           0.80           0.16        95            14    31.82          1.57         58.06          -2.75           0.00         0            0    -1.00         -1.00          0.00
    124  XMMU_J100038.7+021957 150.161593  2.332510     1.33           0.26           0.02      191             17   135.82           1.72          69.51           1.00           0.18       139            18    47.31          2.34         68.02          -1.15           0.00         0            0    -1.00         -1.00          0.00
    126  XMMU_J095849.3+022511 149.705774  2.419735     1.02           3.20           0.08     1670             43  3078.50           2.03          50.00           3.59           0.33       377            25   185.34          2.77         51.05           2.53           0.33       130           16    45.94          2.13         42.83
    127  XMMU_J100001.0+022320 150.004517  2.389147     1.41           0.36           0.03      238             19   165.36           1.48          64.26           0.97           0.18       126            17    35.06          2.09         63.64          -1.14           0.22        60           14     7.22          1.71         53.18
    128  XMMU_J100047.7+020757 150.198858  2.132565     1.41           0.36           0.03      255             21   138.31           1.82          67.35           0.99           0.18       137            18    45.07          2.60         67.40          -0.90           0.00         0            0    -1.00         -1.00          0.00
    129  XMMU_J100100.7+015947 150.253253  1.996440     1.30           0.87           0.05      352             19   407.26           0.97          38.57           1.24           0.23       103            14    45.53          1.32         40.48          -0.75           0.00         0            0    -1.00         -1.00          0.00
    130  XMMU_J095944.9+020857 149.937200  2.149337     1.44           0.42           0.03      253             19   213.45           1.29          57.61           0.81           0.18        93            15    27.25          1.61         56.03          -0.79           0.00         0            0    -1.00         -1.00          0.00
    131  XMMU_J100056.0+015638 150.233407  1.944099     1.29           0.70           0.05      286             19   264.89           1.06          39.07           3.39           0.34       284            21   199.51          1.53         40.64           3.97           0.42       163           17    74.25          1.18         34.11
    132  XMMU_J095958.0+020755 149.991932  2.131957     1.35           0.38           0.03      256             18   199.10           1.59          64.41           0.68           0.15        89            14    24.57          2.22         63.79          -0.84           0.00         0            0    -1.00         -1.00          0.00
